iter, buffer_score, game_score, turn,explore_rate
254,3.275199653,1.4799,58.946,1
255,3.276977778,1.5912,59.162,0.99
256,3.303944444,1.5454,59.207,0.98
257,3.30438,1.5582,59.197,0.97
258,3.291215556,1.404,59.45,0.96
259,3.222942222,1.5614,59.515,0.95
260,3.227557778,1.5143,59.608,0.94
261,3.220833333,1.3918,59.755,0.93
262,3.20386,1.515,59.855,0.92
263,3.199791111,1.4284,60.04,0.91
264,3.159122222,1.4634,60.227,0.9
265,3.14116,1.4184,60.477,0.89
266,3.064793333,1.3007,60.326,0.88
267,2.999775556,1.2968,60.482,0.87
268,2.931573333,1.4046,60.607,0.86
269,2.929971111,1.3447,60.972,0.85
270,2.935884444,1.2107,60.923,0.84
271,2.939375556,1.482,61.036,0.83
272,2.946411111,1.3121,61.191,0.82
273,2.987166667,1.3206,61.394,0.81
274,2.964064444,1.3064,61.435,0.8
275,3.016288889,1.3287,61.515,0.79
276,3.043982222,1.2428,61.449,0.78
277,3.046644444,1.2734,61.65,0.77
278,3.062566667,1.3584,61.626,0.76
279,3.078782222,1.2527,61.797,0.75
280,3.043682222,1.2775,62.013,0.74
281,3.071071111,1.3142,62.066,0.73
282,3.059477778,1.3434,61.957,0.72
283,3.064448889,1.2685,62.283,0.71
284,3.091793333,1.2554,62.114,0.7
285,3.061995556,1.2057,62.372,0.69
286,3.054924444,1.2421,62.51,0.68
287,3.018782222,1.1367,62.74,0.67
288,2.957073333,1.2671,62.677,0.66
289,3.043028889,1.3472,62.73,0.65
290,3.030006667,1.2771,63.067,0.64
291,3.047484444,1.3497,63.042,0.63
292,3.067248889,1.2219,63.358,0.62
293,3.059873333,1.2299,63.335,0.61
294,3.066702222,1.1883,63.415,0.6
295,3.006506667,1.1475,63.731,0.59
296,3.054977778,1.0801,63.921,0.58
297,3.046891111,1.164,63.78,0.57
298,3.005411111,1.1309,64.351,0.56
299,3.052124444,1.3684,64.106,0.55
300,3.037524444,1.2562,64.077,0.54
301,3.059813333,1.2143,64.371,0.53
302,3.113548889,1.1984,64.57,0.52
303,3.188124444,1.2513,64.709,0.51
304,3.253797778,1.2699,64.838,0.5
305,3.209413333,1.1542,65.338,0.49
306,3.271862222,1.2143,65.185,0.48
307,3.215282222,1.0739,65.613,0.47
308,3.127946667,1.2385,65.595,0.46
309,3.084891111,1.2422,65.869,0.45
310,3.010335556,1.2012,65.802,0.44
311,2.978733333,1.2759,65.985,0.43
312,2.923304444,1.2525,66.014,0.42
313,2.846615556,1.2093,66.18,0.41
314,2.912148889,1.3194,66.142,0.4
315,2.968308889,1.3071,66.352,0.39
316,2.943368889,1.2904,66.409,0.38
317,2.952255556,1.2595,66.738,0.37
318,3.007551111,1.3247,66.688,0.36
319,2.999624444,1.3419,66.774,0.35
320,3.009793333,1.4495,66.779,0.34
321,3.036086667,1.4942,66.83,0.33
322,3.087128889,1.5431,66.783,0.32
323,3.081395556,1.6231,66.713,0.31
324,3.099188889,1.6917,66.646,0.3
325,3.137091111,1.6859,66.518,0.29
326,3.213428889,1.7006,66.611,0.28
327,3.256944444,1.8215,66.125,0.27
328,3.324295556,1.8613,66.059,0.26
329,3.397022222,1.9779,66.081,0.25
330,3.457053333,2.0453,66.229,0.24
331,3.491646667,2.0579,66.056,0.23
332,3.502246667,2.0997,65.966,0.22
333,3.547757778,2.167,65.72,0.21
334,3.551551111,2.1279,65.742,0.2
335,3.613875556,2.1871,65.515,0.2
336,3.63394,2.3105,65.287,0.2
337,3.672946667,2.2211,64.433,0.2
338,3.68286,2.3054,63.759,0.2
339,3.651822222,2.298,64.031,0.2
340,3.646246667,2.3659,62.997,0.2
341,3.672355556,2.3242,63.085,0.2
342,3.654695556,2.3094,62.568,0.2
343,3.699422222,2.4246,62.519,0.2
