iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
iter, explore_rate, buffer_score, sample_discarded, sample_score, sample_game_score, sample_deaths, sample_turns, validation_score, validation_game_score, validation_deaths, validation_turns, loss
1,0.8,-0.009222194734758233,9,-4.351041686725885,4.324,10.078,61.601,0.0,0.0,0.0,70.48,0.00980504805687815
2,0.79,0.35110820400279447,7,-3.976714171214965,4.364,9.868,61.761,0.0,0.0,0.0,70.16,0.009132983656600117
3,0.78,0.777036582102345,6,-4.36875595258409,4.255,9.981,61.744,0.0,0.0,0.0,70.44,0.008197570266202093
4,0.77,1.0454377155577517,4,-3.963872585442551,4.099,9.699,62.194,0.0,0.0,0.0,69.7,0.007788627771660685
5,0.76,1.2256632555907512,4,-3.718497459647734,4.203,9.615,62.07,0.0,0.0,0.0,71.94,0.007298928666859866
6,0.75,1.2088592917599184,4,-3.53281313147679,4.033,9.422,62.471,0.0,0.0,0.0,69.58,0.006816759682260453
7,0.74,1.09927561972705,10,-3.31662044900779,4.024,9.301,62.524,0.0,0.0,0.0,73.54,0.006649217456579208
8,0.73,1.2588849656069339,7,-2.903438648218197,4.053,9.047,62.771,0.0,0.0,0.0,68.82,0.0064615523535758255
9,0.72,1.0613976524904132,11,-3.0977770246395724,3.858,9.029,62.888,0.0,0.0,0.0,66.12,0.006367421303875745
10,0.71,0.9951594953665169,14,-2.9025817606605564,3.867,8.954,62.706,0.0,0.0,0.0,63.26,0.006255318811163306
11,0.7,1.068328978189908,12,-2.861009367289803,3.878,8.883,63.187,0.0,0.0,0.0,71.6,0.00596008088439703
12,0.69,1.0308776967294717,13,-3.0410510787736698,3.868,9.034,63.187,0.0,0.0,0.0,74.64,0.005927836527116597
13,0.6799999999999999,1.196230058379346,12,-2.898437903340738,3.846,8.852,63.408,0.0,0.0,0.0,74.02,0.005838291654363274
14,0.6699999999999999,1.16866779197699,11,-3.1147040168936653,3.863,9.039,63.344,-0.027768703999999908,0.7,1.72,73.18,0.0057808167301118376
15,0.6599999999999999,1.0137801608215409,9,-3.046903698746088,3.903,8.992,63.392,0.25630085119999996,1.14,2.14,71.02,0.00571183726657182
16,0.6499999999999999,1.0030688283414921,8,-3.5220500552822074,4.023,9.259,62.988,-0.8210734915583998,1.78,4.96,69.18,0.005787945981137454
17,0.6399999999999999,1.074615001207623,6,-3.89158142451686,4.279,9.664,62.417,-2.0197466600292344,2.82,7.02,65.02,0.005945383151993155
18,0.6299999999999999,0.7936702721198675,5,-4.630539472560281,4.242,10.003,62.114,-2.188246742312549,3.12,7.58,64.72,0.006169194346293807
19,0.6199999999999999,0.7865682482987891,7,-3.496661439225728,3.936,9.183,63.18,-0.29255319551999986,1.84,4.36,69.38,0.006228159475140274
20,0.6099999999999999,0.768155097097975,11,-2.563570801441132,3.662,8.474,64.08,-0.056595199999999964,0.34,1.06,72.38,0.006143692154437303
21,0.5999999999999999,0.8133268686511211,14,-2.098240176605159,3.528,8.077,64.453,0.03992000000000001,0.14,0.3,73.6,0.006167228179983795
22,0.5899999999999999,0.9117466807132165,17,-2.108199658095194,3.398,7.981,64.713,0.00944000000000001,0.14,0.38,73.24,0.005883056023158133
23,0.5799999999999998,0.9662350189187868,21,-1.982021309079686,3.432,7.888,64.718,0.030400000000000014,0.1,0.22,72.18,0.005693832440301776
24,0.5699999999999998,1.204509352177054,27,-1.749049910526736,3.377,7.642,64.846,0.0668,0.08,0.04,74.24,0.005251791561022401
25,0.5599999999999998,1.2472382878970836,19,-1.6406028098705452,3.321,7.562,65.075,0.042800000000000005,0.08,0.12,73.22,0.004865459259599447
26,0.5499999999999998,1.3579814319253831,17,-1.5477867636935116,3.289,7.411,65.061,0.032,0.08,0.16,72.14,0.004718797081150115
27,0.5399999999999998,1.3542231853138718,22,-1.3519304449778935,3.227,7.22,65.262,-0.006239999999999995,0.06,0.2,72.74,0.004609989132732153
28,0.5299999999999998,1.271943986723431,27,-1.6724920833282955,3.156,7.384,65.048,-0.030527999999999986,0.18,0.62,72.1,0.004466382777318359
29,0.5199999999999998,1.2831510999759808,25,-1.250076401514008,3.14,7.019,65.301,0.12727040000000003,0.26,0.36,69.9,0.004394276165403426
30,0.5099999999999998,1.2788896303690225,45,-1.0861811002695527,3.048,6.815,65.485,0.0484,0.1,0.16,72.64,0.004301278768107295
